countryiso3code,country_code,country_name,year,gdp_growth,inflation,unemployment
AUS,AU,Australia,2000,3.9215029305806,4.45743514797224,6.288
AUS,AU,Australia,2001,2.02510553454593,4.40713536201469,6.747
AUS,AU,Australia,2002,3.97958568067362,2.98157453936348,6.375
AUS,AU,Australia,2003,3.09076190489348,2.73259596616786,5.933
AUS,AU,Australia,2004,4.22428481359962,2.34325522482583,5.399
AUS,AU,Australia,2005,3.15416753184221,2.69183168316832,5.036
AUS,AU,Australia,2006,2.75534610557227,3.55528773727026,4.785
AUS,AU,Australia,2007,3.77332171303566,2.32761128891476,4.381
AUS,AU,Australia,2008,3.58626695226046,4.35029854990048,4.242
AUS,AU,Australia,2009,1.89255581922549,1.77111716621254,5.565
AUS,AU,Australia,2010,2.21998026536549,2.91834002677376,5.214
AUS,AU,Australia,2011,2.40708018291988,3.3038501560874,5.083
AUS,AU,Australia,2012,3.91670942454073,1.76278015613196,5.225
AUS,AU,Australia,2013,2.60219339436559,2.4498886414254,5.663
AUS,AU,Australia,2014,2.59528411594042,2.48792270531404,6.078
AUS,AU,Australia,2015,2.19016928695221,1.50836672165921,6.055
AUS,AU,Australia,2016,2.7593859723839,1.27699094497324,5.711
AUS,AU,Australia,2017,2.27959179820343,1.94864740944527,5.592
AUS,AU,Australia,2018,2.87846971467883,1.91140094445691,5.3
AUS,AU,Australia,2019,2.17154505737176,1.61076787290379,5.159
AUS,AU,Australia,2020,-0.119590735829973,0.846905537459305,6.456
AUS,AU,Australia,2021,2.11116814768786,2.86391042204994,5.116
AUS,AU,Australia,2022,4.24238555336139,6.59409671341846,3.728
AUS,AU,Australia,2023,3.44199220009025,5.5970149253731,3.668
AUS,AU,Australia,2024,1.4311125201703,3.1616142830575,4.072
BRA,BR,Brazil,2000,4.38794944745618,7.04414105947266,10.889
BRA,BR,Brazil,2001,1.38989640095637,6.84035902487523,10.649
BRA,BR,Brazil,2002,3.05346185909312,8.45016437708331,10.641
BRA,BR,Brazil,2003,1.14082899824888,14.7149197228147,11.168
BRA,BR,Brazil,2004,5.75996463670954,6.59718509985963,10.072
BRA,BR,Brazil,2005,3.20213206130431,6.86953720898964,10.551
BRA,BR,Brazil,2006,3.96198871122617,4.18356812896909,9.692
BRA,BR,Brazil,2007,6.06987060678338,3.64127299102652,9.28
BRA,BR,Brazil,2008,5.09419544658736,5.67859390284168,8.268
BRA,BR,Brazil,2009,-0.125812002161169,4.88803479876799,9.419
BRA,BR,Brazil,2010,7.52822581815364,5.03872690108075,8.422
BRA,BR,Brazil,2011,3.97442307944702,6.6364496221309,7.578
BRA,BR,Brazil,2012,1.92117598576537,5.40349914036997,7.251
BRA,BR,Brazil,2013,3.00482266944432,6.20431066640101,7.071
BRA,BR,Brazil,2014,0.503955740242247,6.32904015516139,6.755
BRA,BR,Brazil,2015,-3.54576339269425,9.02990102416136,8.538
BRA,BR,Brazil,2016,-3.27591690782192,8.73914352329393,11.58
BRA,BR,Brazil,2017,1.32286905404399,3.44637335032669,12.792
BRA,BR,Brazil,2018,1.783666761634,3.66485028376729,12.329
BRA,BR,Brazil,2019,1.22077782360842,3.73297621216894,11.936
BRA,BR,Brazil,2020,-3.2767587964736,3.21176803803376,13.697
BRA,BR,Brazil,2021,4.76260437908608,8.30165975585673,13.158
BRA,BR,Brazil,2022,3.01669435393015,9.28010608956873,9.231
BRA,BR,Brazil,2023,3.24165532906981,4.59356282283204,7.947
BRA,BR,Brazil,2024,3.39586645454844,4.36746407652337,7.634
CAN,CA,Canada,2000,5.1385391803606,2.71943995691976,6.829
CAN,CA,Canada,2001,1.87509810696022,2.52512013979906,7.219
CAN,CA,Canada,2002,2.99925535017809,2.25839440940855,7.665
CAN,CA,Canada,2003,1.80638512302554,2.75856321360112,7.574
CAN,CA,Canada,2004,3.09236384292251,1.85725871857256,7.185
CAN,CA,Canada,2005,3.21045439063563,2.21355203439767,6.758
CAN,CA,Canada,2006,2.63794375007348,2.00202539534161,6.484
CAN,CA,Canada,2007,2.04990463726786,2.13838399266837,6.156
CAN,CA,Canada,2008,0.995406301140747,2.37027067444299,6.284
CAN,CA,Canada,2009,-2.91508621550267,0.299466803009299,8.46
CAN,CA,Canada,2010,3.09080634469335,1.77687154092627,8.178
CAN,CA,Canada,2011,3.13719442170364,2.91213508872351,7.637
CAN,CA,Canada,2012,1.75566129145483,1.51567823124517,7.392
CAN,CA,Canada,2013,2.32581354806429,0.938291897815317,7.143
CAN,CA,Canada,2014,2.87346677785811,1.90663590717861,7.023
CAN,CA,Canada,2015,0.649971001734855,1.12524136094277,6.945
CAN,CA,Canada,2016,1.03855092490855,1.42875954701085,7.038
CAN,CA,Canada,2017,3.03383491200222,1.59688412852977,6.426
CAN,CA,Canada,2018,2.74296344906655,2.26822567248103,5.837
CAN,CA,Canada,2019,1.90843194590616,1.94926902411593,5.69
CAN,CA,Canada,2020,-5.03823343468899,0.716999632307827,9.657
CAN,CA,Canada,2021,5.95052802804381,3.39519318527528,7.527
CAN,CA,Canada,2022,4.18903628100851,6.80280115341613,5.279
CAN,CA,Canada,2023,1.52874550838358,3.87900159788426,5.415
CAN,CA,Canada,2024,1.5280811085284,2.38158383281173,6.45
CHN,CN,China,2000,8.58643201808462,0.347811226864587,3.26
CHN,CN,China,2001,8.31263887091522,0.719125609120114,3.8
CHN,CN,China,2002,9.24339326638321,-0.731970902350244,4.24
CHN,CN,China,2003,10.1181928640117,1.12760348729637,4.58
CHN,CN,China,2004,10.1314073631003,3.82463743108159,4.49
CHN,CN,China,2005,11.458238455067,1.77641407667571,4.52
CHN,CN,China,2006,12.6746751655235,1.6494309945586,4.43
